resolution,noise,conv_layers,activation,optimizer,batch_size,mean_accuracy,median_accuracy,std_dev_accuracy,avg_training_time_sec,cat_cat,cat_wild,cat_dog,wild_cat,wild_wild,wild_dog,dog_cat,dog_wild,dog_dog,cat_recall,cat_specificity,cat_precision,cat_f1_score,cat_type1_error,cat_type2_error,cat_TP,cat_FP,cat_FN,cat_TN,wild_recall,wild_specificity,wild_precision,wild_f1_score,wild_type1_error,wild_type2_error,wild_TP,wild_FP,wild_FN,wild_TN,dog_recall,dog_specificity,dog_precision,dog_f1_score,dog_type1_error,dog_type2_error,dog_TP,dog_FP,dog_FN,dog_TN
128x128,no,3,relu,adam,1,95.13,95.3,1.02,1594.31,526.85,10.3,5.85,13.4,510.3,19.3,8.6,21.85,512.55,0.9703,0.9797,0.9608,0.9652,0.0203,0.0297,526.85,22,16.15,1064,0.9398,0.9704,0.942,0.9402,0.0296,0.0602,510.3,32.15,32.7,1053.85,0.9439,0.9768,0.9537,0.9485,0.0232,0.0561,512.55,25.15,30.45,1060.85
128x128,no,3,relu,adam,8,95.31,95.55,1.3,580.57,526.55,8.15,8.3,10.3,509.45,23.25,9.45,16.9,516.65,0.9697,0.9818,0.9652,0.9669,0.0182,0.0303,526.55,19.75,16.45,1066.25,0.9382,0.9769,0.9543,0.9455,0.0231,0.0618,509.45,25.05,33.55,1060.95,0.9515,0.9709,0.9447,0.947,0.0291,0.0485,516.65,31.55,26.35,1054.45
128x128,no,1,relu,adam,16,92.46,92.36,1.26,333.52,513.2,13.65,16.15,16.9,489.65,36.45,14.1,25.6,503.3,0.9451,0.9715,0.9448,0.9443,0.0285,0.0549,513.2,31,29.8,1055,0.9018,0.9639,0.9273,0.9133,0.0361,0.0983,489.65,39.25,53.35,1046.75,0.9269,0.9516,0.9068,0.916,0.0484,0.0731,503.3,52.6,39.7,1033.4
128x128,no,2,relu,adam,16,94.27,94.78,1.95,386.98,522.25,10.65,10.1,10.4,500.85,31.75,6.95,23.45,512.6,0.9618,0.984,0.9681,0.9648,0.016,0.0382,522.25,17.35,20.75,1068.65,0.9224,0.9686,0.9396,0.929,0.0314,0.0776,500.85,34.1,42.15,1051.9,0.944,0.9615,0.928,0.9344,0.0385,0.056,512.6,41.85,30.4,1044.15
128x128,no,3,relu,adam,16,96.4,96.44,0.72,651.69,528.95,6.9,7.15,8.4,516.35,18.25,5.05,12.95,525,0.9741,0.9876,0.9755,0.9747,0.0124,0.0259,528.95,13.45,14.05,1072.55,0.9509,0.9817,0.9633,0.9569,0.0183,0.0491,516.35,19.85,26.65,1066.15,0.9669,0.9766,0.9544,0.9604,0.0234,0.0331,525,25.4,18,1060.6
32x32,no,3,relu,adam,16,94.79,94.84,0.9,61.79,520.65,12.3,10.05,14.4,509.2,19.4,12.05,16.6,514.35,0.9588,0.9757,0.9525,0.9553,0.0243,0.0412,520.65,26.45,22.35,1059.55,0.9378,0.9734,0.948,0.9419,0.0266,0.0622,509.2,28.9,33.8,1057.1,0.9472,0.9729,0.9474,0.9465,0.0271,0.0528,514.35,29.45,28.65,1056.55
64x64,no,3,relu,adam,16,95.92,95.98,0.7,221.53,528.35,9.5,5.15,10.4,519.7,12.9,10.95,17.5,514.55,0.973,0.9803,0.9619,0.9671,0.0197,0.027,528.35,21.35,14.65,1064.65,0.9571,0.9751,0.952,0.9539,0.0249,0.0429,519.7,27,23.3,1059,0.9476,0.9834,0.967,0.9566,0.0166,0.0524,514.55,18.05,28.45,1067.95
256x256,no,3,relu,adam,16,95.27,95.46,0.85,1966.82,529.35,7.45,6.2,9.9,507.35,25.75,7.8,19.95,515.25,0.9749,0.9837,0.9678,0.9713,0.0163,0.0251,529.35,17.7,13.65,1068.3,0.9344,0.9748,0.9501,0.9414,0.0252,0.0656,507.35,27.4,35.65,1058.6,0.9489,0.9706,0.9434,0.9453,0.0294,0.0511,515.25,31.95,27.75,1054.05
128x128,no,3,relu,sgd,16,96.1,96.26,0.93,1588.93,528.95,6.2,7.85,10.5,515.85,16.65,6.65,15.65,520.7,0.9741,0.9842,0.9688,0.9714,0.0158,0.0259,528.95,17.15,14.05,1068.85,0.95,0.9799,0.9605,0.9547,0.0201,0.05,515.85,21.85,27.15,1064.15,0.9589,0.9774,0.9565,0.9569,0.0226,0.0411,520.7,24.5,22.3,1061.5
128x128,no,3,tanh,adam,16,40.38,33.33,17.46,1295.04,341.3,88.8,112.9,278.1,143.2,121.7,278.7,91.05,173.25,0.6285,0.4873,0.297,0.3777,0.5127,0.3715,341.3,556.8,201.7,529.2,0.2637,0.8344,0.1676,0.1887,0.1656,0.7363,143.2,179.85,399.8,906.15,0.3191,0.784,0.1859,0.2185,0.216,0.6809,173.25,234.6,369.75,851.4
128x128,no,3,elu,adam,16,88.35,94.6,18.93,748.2,499.4,34.45,9.15,38.65,474.6,29.75,33.1,44.65,465.25,0.9197,0.9339,0.8851,0.8938,0.0661,0.0803,499.4,71.75,43.6,1014.25,0.874,0.9272,0.8718,0.8625,0.0728,0.126,474.6,79.1,68.4,1006.9,0.8568,0.9642,0.8348,0.8439,0.0358,0.1432,465.25,38.9,77.75,1047.1
128x128,no,3,relu,adam,16,96,96.41,1.31,697.39,527.35,10.05,5.6,7.55,519.35,16.1,7.6,18.3,517.1,0.9712,0.9861,0.9728,0.9715,0.0139,0.0288,527.35,15.15,15.65,1070.85,0.9565,0.9739,0.9501,0.9526,0.0261,0.0435,519.35,28.35,23.65,1057.65,0.9523,0.98,0.9606,0.9558,0.02,0.0477,517.1,21.7,25.9,1064.3
128x128,no,3,relu,adagrad,16,96.08,96.47,1.23,3287.16,528.8,8.45,5.75,14.45,517.05,11.5,9.55,14.15,519.3,0.9738,0.9779,0.9581,0.9655,0.0221,0.0262,528.8,24,14.2,1062,0.9522,0.9792,0.9585,0.9549,0.0208,0.0478,517.05,22.6,25.95,1063.4,0.9564,0.9841,0.968,0.962,0.0159,0.0436,519.3,17.25,23.7,1068.75
128x128,yes,3,relu,adam,16,95.76,95.95,0.59,525.58,530.35,6.9,5.75,11.2,512.6,19.2,9.05,17,516.95,0.9767,0.9814,0.9636,0.97,0.0186,0.0233,530.35,20.25,12.65,1065.75,0.944,0.978,0.9564,0.9496,0.022,0.056,512.6,23.9,30.4,1062.1,0.952,0.977,0.955,0.953,0.023,0.048,516.95,24.95,26.05,1061.05
128x128,no,4,relu,adam,16,96.64,96.59,0.79,2067.85,530.85,7.6,4.55,5.95,523.05,14,6.05,16.6,520.35,0.9776,0.989,0.9783,0.9778,0.011,0.0224,530.85,12,12.15,1074,0.9633,0.9777,0.957,0.9595,0.0223,0.0367,523.05,24.2,19.95,1061.8,0.9583,0.9829,0.9667,0.9618,0.0171,0.0417,520.35,18.55,22.65,1067.45
128x128,no,5,relu,adam,16,97.04,97.15,0.63,931.51,532.3,4.7,6,5.25,522.7,15.05,4.95,12.3,525.75,0.9803,0.9906,0.9817,0.9808,0.0094,0.0197,532.3,10.2,10.7,1075.8,0.9626,0.9844,0.9692,0.9655,0.0156,0.0374,522.7,17,20.3,1069,0.9682,0.9806,0.9628,0.9649,0.0194,0.0318,525.75,21.05,17.25,1064.95
128x128,no,3,relu,adam,32,95.95,96.16,0.88,1216.7,529.85,5.05,8.1,9.45,511.8,21.75,5.15,16.5,521.35,0.9758,0.9866,0.9737,0.9745,0.0134,0.0242,529.85,14.6,13.15,1071.4,0.9426,0.9802,0.9609,0.9509,0.0198,0.0575,511.8,21.55,31.2,1064.45,0.9601,0.9725,0.9477,0.953,0.0275,0.0399,521.35,29.85,21.65,1056.15
128x128,no,3,relu,adam,64,96.08,95.95,0.94,676.25,528.95,6.5,7.55,8.1,514.25,20.65,3.65,17.35,522,0.9741,0.9892,0.9784,0.9762,0.0108,0.0259,528.95,11.75,14.05,1074.25,0.947,0.978,0.9577,0.9514,0.022,0.0529,514.25,23.85,28.75,1062.15,0.9613,0.974,0.9501,0.9548,0.026,0.0387,522,28.2,21,1057.8
128x128,no,3,relu,adam,128,96.43,96.38,0.75,886.94,526.4,8.8,7.8,6.55,522.75,13.7,4.6,16.75,521.65,0.9694,0.9897,0.9796,0.9743,0.0103,0.0306,526.4,11.15,16.6,1074.85,0.9627,0.9765,0.9539,0.958,0.0235,0.0373,522.75,25.55,20.25,1060.45,0.9607,0.9802,0.9611,0.9605,0.0198,0.0393,521.65,21.5,21.35,1064.5
128x128,no,3,relu,adam,2048,96.99,96.99,0.53,2994.12,533,4.8,5.2,6.75,525.45,10.8,5.9,15.6,521.5,0.9816,0.9884,0.9769,0.9792,0.0117,0.0184,533,12.65,10,1073.35,0.9677,0.9812,0.9631,0.9652,0.0188,0.0323,525.45,20.4,17.55,1065.6,0.9604,0.9853,0.9704,0.9652,0.0147,0.0396,521.5,16,21.5,1070
